Sample	Encoding	total_read_pairs	trimmed_read_pairs	avg_sequence_length	sequence_length	gc_content	percent_duplication	percent_aligned	median_insert_size	mean_insert_size	mean_mapping_quality	mean_coverage	avg_aligned_read_length	pct_mrna_bases	pct_coding_bases	pct_intronic_bases	pct_utr_bases	pct_intergenic_bases	median_cv_coverage	median_5prime_to_3prime_bias	median_5prime_bias	median_3prime_bias	human_percent_aligned	mouse_percent_aligned	bacteria_percent_aligned	fungi_percent_aligned	virus_percent_aligned	rRNA_percent_aligned	uni_vec_percent_aligned	percent_antisense_strand	percent_sense_strand
F9_MOCK_4_MP180	Sanger / Illumina 1.9	26409590	26358530	136.777	35-151	52.0	20.8	94.34	238.0	1732.054	19.357	28.384	273	92.271	68.861	2.998	23.409	4.666	0.513	1.759	0.283	0.15						1.6	0.12	92.1	0.3
F9_MOCK_4_MP192	Sanger / Illumina 1.9	19463213	19416866	141.427	35-151	51.0	17.2	94.34	291.0	1910.216	19.927	21.131	282	91.886	68.124	3.387	23.762	4.661	0.52	1.544	0.245	0.146						1.29	0.13	90.3	0.2
F9_RAS_1_MP180	Sanger / Illumina 1.9	20948430	20906910	137.256	35-151	51.0	16.6	93.66	251.0	1814.278	19.133	23.235	274	91.711	67.511	3.368	24.2	4.861	0.517	1.446	0.259	0.155						1.67	0.26	94.5	0.3
F9_RAS_1_MP192	Sanger / Illumina 1.9	21932496	21896770	136.875	35-151	51.0	16.8	93.94	246.0	1798.373	19.298	24.561	273	90.886	66.366	3.81	24.521	5.241	0.522	1.48	0.253	0.153						1.61	0.29	93.8	0.4
F9_RAS_2_MP180	Sanger / Illumina 1.9	30691328	30629869	136.406	35-151	52.0	20.6	93.77	248.0	1783.559	19.331	33.63	272	91.646	67.795	3.485	23.851	4.812	0.514	1.59	0.263	0.151						1.67	0.24	94.3	0.3
F9_RAS_2_MP192	Sanger / Illumina 1.9	26478875	26417370	136.38	35-151	51.0	18.6	93.76	245.0	1819.474	19.305	29.523	272	91.044	66.685	3.785	24.359	5.109	0.529	1.489	0.244	0.152						1.47	0.27	94.3	0.4
F9_RAS_3_MP180	Sanger / Illumina 1.9	26225466	26166869	136.788	35-151	51.0	18.6	93.51	244.0	1791.547	19.548	28.442	273	91.21	66.804	3.712	24.406	5.024	0.513	1.374	0.246	0.155						1.55	0.25	93.6	0.3
F9_RAS_3_MP192	Sanger / Illumina 1.9	21259150	21223007	137.467	35-151	51.0	17.7	94.03	248.0	1817.271	19.28	24.03	274	90.645	66.287	4.022	24.358	5.268	0.524	1.56	0.247	0.145						1.6	0.29	94.1	0.3
F9_RAS_4_MP180	Sanger / Illumina 1.9	21067455	21011879	141.058	35-151	51.0	17.1	93.58	285.0	2010.083	19.839	23.191	282	91.181	66.514	3.742	24.668	5.022	0.516	1.368	0.226	0.155						1.38	0.25	94.4	0.2
F9_RAS_4_MP192	Sanger / Illumina 1.9	24708334	24667057	137.238	35-151	51.0	17.6	93.93	251.0	1826.601	19.249	28.012	274	91.025	66.765	3.76	24.26	5.148	0.521	1.56	0.249	0.147						1.66	0.31	94.2	0.3
WT_MOCK_1_MP180	Sanger / Illumina 1.9	26711385	26660912	135.044	35-151	52.0	22.8	94.2	235.0	1653.774	18.865	28.445	270	93.007	70.27	2.578	22.737	4.353	0.515	1.648	0.289	0.148						1.67	0.09	86.2	0.3
WT_MOCK_1_MP192	Sanger / Illumina 1.9	21852569	21807183	136.555	35-151	52.0	20.5	94.18	248.0	1710.769	19.183	23.553	273	92.191	69.372	3.055	22.82	4.679	0.528	1.72	0.272	0.143						1.84	0.11	89.4	0.2
WT_MOCK_2_MP180	Sanger / Illumina 1.9	25220336	25173789	134.9	35-151	53.0	22.8	94.11	231.0	1643.629	19.088	26.79	269	92.75	70.253	2.671	22.498	4.505	0.519	1.84	0.313	0.148						2.08	0.09	84.6	0.3
WT_MOCK_2_MP192	Sanger / Illumina 1.9	24266145	24220620	135.668	35-151	52.0	21.5	94.13	243.0	1689.682	19.069	26.121	271	92.243	69.455	2.906	22.788	4.749	0.524	1.833	0.302	0.145						2.03	0.1	89.7	0.3
WT_MOCK_3_MP180	Sanger / Illumina 1.9	24824714	24775931	135.987	35-151	52.0	22.4	94.05	237.0	1675.949	19.151	26.526	272	92.671	70.088	2.726	22.583	4.537	0.517	1.765	0.294	0.147						2.13	0.1	85.1	0.2
WT_MOCK_3_MP192	Sanger / Illumina 1.9	24040246	23984664	135.588	35-151	52.0	20.9	93.78	240.0	1718.929	19.326	25.535	271	91.77	68.876	3.301	22.894	4.852	0.521	1.825	0.292	0.145						2.04	0.11	90.1	0.2
WT_MOCK_4_MP180	Sanger / Illumina 1.9	26481863	26435538	136.259	35-151	52.0	21.8	94.21	243.0	1694.816	19.155	28.48	272	92.494	69.747	2.792	22.747	4.64	0.511	1.861	0.302	0.146						2.15	0.09	85.0	0.2
WT_MOCK_4_MP192	Sanger / Illumina 1.9	20531678	20489017	137.146	35-151	51.0	16.1	93.62	247.0	1841.215	19.482	22.879	274	90.74	66.005	3.846	24.736	5.346	0.512	1.475	0.259	0.15						1.68	0.32	94.0	0.3
WT_RAS_1_MP180	Sanger / Illumina 1.9	21824397	21781831	136.699	35-151	52.0	18.3	93.87	251.0	1794.134	18.967	24.255	273	91.9	68.383	3.201	23.516	4.83	0.53	1.679	0.279	0.14						1.78	0.21	93.9	0.3
WT_RAS_1_MP192	Sanger / Illumina 1.9	17680977	17648930	140.655	35-151	51.0	15.3	94.12	282.0	1952.98	19.285	20.305	281	91.512	67.291	3.353	24.221	5.065	0.526	1.405	0.242	0.137						1.67	0.24	94.9	0.3
WT_RAS_2_MP180	Sanger / Illumina 1.9	24250374	24202632	136.244	35-151	52.0	19.8	93.74	244.0	1774.369	19.108	26.776	272	91.603	67.816	3.347	23.787	4.983	0.528	1.569	0.268	0.147						1.81	0.23	93.4	0.3
WT_RAS_2_MP192	Sanger / Illumina 1.9	22541939	22491433	136.806	35-151	51.0	17.6	93.73	250.0	1851.223	19.021	25.289	273	91.324	66.954	3.424	24.37	5.18	0.517	1.578	0.272	0.149						1.8	0.24	94.4	0.3
WT_RAS_3_MP180	Sanger / Illumina 1.9	21570250	21528815	137.16	35-151	52.0	18.0	93.6	249.0	1824.027	19.172	23.967	274	91.621	67.57	3.293	24.052	5.003	0.518	1.736	0.299	0.145						2.03	0.23	94.2	0.3
WT_RAS_3_MP192	Sanger / Illumina 1.9	19904139	19867839	136.658	35-151	51.0	17.2	94.03	246.0	1786.85	18.919	22.356	273	91.545	67.384	3.322	24.161	5.06	0.527	1.547	0.263	0.143						1.72	0.23	95.0	0.3
WT_RAS_4_MP180	Sanger / Illumina 1.9	27574264	27521953	136.882	35-151	51.0	19.9	93.67	251.0	1803.033	19.314	30.357	273	91.759	67.472	3.198	24.286	4.98	0.516	1.518	0.265	0.154						1.65	0.23	93.8	0.3
WT_RAS_4_MP192	Sanger / Illumina 1.9	25999913	25942554	137.313	35-151	51.0	18.3	93.59	252.0	1856.485	19.191	29.207	274	91.128	66.813	3.489	24.315	5.309	0.518	1.556	0.261	0.149						1.75	0.24	94.2	0.3
